Occupation,"Total 16 years and over","16 to 19 years","20 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 64 years","65 years and over","Median age"
"Engineering technicians, except drafters",496,5,41,120,97,111,106,15,43.7
Surveying and mapping technicians,53,1,7,13,6,13,8,5,44.6
"Life, physical, and social science occupations","1,485",9,137,427,320,262,231,99,41
Agricultural and food scientists,37,0,8,13,6,5,6,1,–
Biological scientists,104,0,8,32,23,23,12,7,41.2
Conservation scientists and foresters,20,0,1,3,8,3,4,1,–
Medical scientists,170,0,12,59,43,24,25,7,38.8
"Life scientists, all other",2,0,1,1,0,1,0,0,–
Astronomers and physicists,17,0,0,4,4,3,6,1,–
Atmospheric and space scientists,10,0,0,2,2,2,4,0,–
Chemists and materials scientists,97,0,7,35,16,16,17,5,40.9
Environmental scientists and geoscientists,119,1,10,32,31,18,18,10,41.1
"Physical scientists, all other",298,0,23,99,71,50,45,10,39.6
Economists,35,0,0,9,8,6,10,2,–
Survey researchers,0,0,0,0,0,0,0,0,–
Psychologists,234,0,4,43,49,61,37,41,48.3
Sociologists,2,0,2,0,0,0,0,0,–
Urban and regional planners,25,0,3,8,6,5,2,1,–
Miscellaneous social scientists and related workers,39,0,2,11,8,8,5,5,–
Agricultural and food science technicians,20,0,5,4,1,3,4,3,–
Biological technicians,23,0,3,8,6,3,4,0,–
Chemical technicians,56,1,3,17,15,11,9,1,40
Geological and petroleum technicians,20,0,1,3,6,8,0,1,–
Nuclear technicians,3,0,0,0,0,1,1,0,–
Social science research assistants,1,0,0,0,0,1,0,0,–
"Miscellaneous life, physical, and social science technicians",152,6,44,45,16,13,22,6,30.6
Community and social service occupations,"2,717",20,168,648,596,559,479,247,44
Counselors,927,13,67,232,214,182,142,78,42.3
Social workers,823,2,38,226,190,187,140,40,43.1
Probation officers and correctional treatment specialists,97,0,2,26,27,31,10,1,41.8
Social and human service assistants,238,2,30,63,46,39,45,13,40.9
"Miscellaneous community and social service specialists, including health educators and community health workers",78,0,4,13,21,21,15,4,44.5
Clergy,413,0,11,60,73,80,103,86,52.3
"Directors, religious activities and education",72,1,5,20,13,11,12,10,43.6
"Religious workers, all other",69,2,9,8,12,9,13,15,47.2
Legal occupations,"1,955",4,54,406,438,432,368,251,46.8
Lawyers,"1,240",2,5,233,310,279,224,188,47.5
Judicial law clerks,7,0,0,4,0,2,0,0,–
"Judges, magistrates, and other judicial workers",70,0,0,3,10,21,22,15,55.7
Paralegals and legal assistants,444,2,37,115,83,84,92,30,43.4
Miscellaneous legal support workers,193,0,12,51,36,46,30,18,44.9
"Education, training, and library occupations","9,455",126,689,"2,157","2,254","2,053","1,511",664,42.8
Postsecondary teachers,"1,386",6,103,284,312,258,251,172,45
Preschool and kindergarten teachers,655,10,80,175,157,131,79,23,39.4
Elementary and middle school teachers,"3,604",6,171,887,938,877,539,185,42.7
Secondary school teachers,"1,015",4,49,261,280,225,147,50,42.2
Special education teachers,331,1,14,74,84,86,58,15,44
Other teachers and instructors,"1,017",63,123,205,187,169,158,112,41.5
"Archivists, curators, and museum technicians",48,1,5,10,11,10,5,8,–
Librarians,179,0,9,33,37,34,38,26,47.7
Library technicians,33,7,6,2,5,5,6,1,–
Teacher assistants,999,25,115,186,202,217,197,57,42.9
"Other education, training, and library workers",189,2,15,41,40,42,34,16,44.7
"Arts, design, entertainment, sports, and media occupations","3,285",100,290,910,690,586,437,272,40.6
Artists and related workers,248,4,11,64,51,39,45,34,44.2
Designers,983,10,80,299,226,169,133,66,40.2
Actors,40,2,3,11,9,7,6,2,–
Producers and directors,186,0,5,64,44,47,21,5,40.4
"Athletes, coaches, umpires, and related workers",345,65,53,84,50,43,23,26,30.6
Dancers and choreographers,23,1,6,9,2,1,1,2,–
"Musicians, singers, and related workers",202,4,17,42,35,36,29,41,46.8
"Entertainers and performers, sports and related workers, all other",50,1,3,21,8,6,6,5,39.3
Announcers,58,1,3,16,14,14,8,3,42.6
"News analysts, reporters and correspondents",93,0,10,32,15,18,14,4,38.2
Public relations specialists,137,1,19,33,33,30,14,6,39.4
Editors,147,1,13,29,31,33,29,10,45.3
Technical writers,61,0,2,16,10,14,13,7,45.7
Writers and authors,225,0,15,58,49,40,33,29,44
Miscellaneous media and communication workers,118,1,4,28,28,28,20,8,44.4
Broadcast and sound engineering technicians and radio operators,119,5,16,32,32,21,10,4,37.6
Photographers,188,2,20,52,39,32,29,14,41.3
"Television, video, and motion picture camera operators and editors",60,2,9,19,14,7,4,5,34.3
"Media and communication equipment workers, all other",0,0,0,0,0,0,0,0,–
Healthcare practitioners and technical occupations,"9,684",48,532,"2,586","2,373","1,990","1,576",579,42.3
Chiropractors,61,0,1,11,17,15,14,4,45.2
Dentists,162,0,0,32,35,41,30,23,48.2
Dietitians and nutritionists,128,3,4,33,20,34,23,11,45.3
Optometrists,43,0,1,16,10,8,4,5,–
Pharmacists,341,0,11,109,90,69,43,19,41.1
Physicians and surgeons,"1,098",0,5,250,272,250,194,127,45.7
Physician assistants,131,0,2,56,35,27,9,2,38
Podiatrists,10,0,0,4,0,3,3,0,–
Audiologists,14,0,0,2,5,2,4,0,–
Occupational therapists,136,0,2,42,42,33,13,3,40.2
Physical therapists,304,0,5,84,95,74,37,10,41.6
Radiation therapists,16,0,2,8,2,3,0,1,–
Recreational therapists,10,0,2,2,1,2,2,1,–
Respiratory therapists,112,0,2,27,32,28,21,3,44.5
Speech-language pathologists,180,0,9,58,49,33,22,8,40.5
Exercise physiologists,2,0,0,1,0,0,0,0,–
"Therapists, all other",235,2,14,77,44,40,36,22,40.8
Veterinarians,104,0,1,21,33,21,21,7,44.9
Registered nurses,"3,242",2,138,860,803,684,586,168,43
Nurse anesthetists,33,0,0,8,10,8,4,3,–
Nurse midwives,10,0,0,1,4,2,1,2,–
Nurse practitioners,225,0,0,51,71,50,38,16,44.3
"Health diagnosing and treating practitioners, all other",35,0,0,8,8,7,5,7,–
Clinical laboratory technologists and technicians,323,4,29,75,77,64,58,16,42.4
Dental hygienists,208,0,10,67,39,44,41,7,42.3
Diagnostic related technologists and technicians,398,1,15,103,109,83,70,17,42.6
Emergency medical technicians and paramedics,206,1,33,81,44,27,14,5,33
Health practitioner support technologists and technicians,710,19,131,234,138,92,78,18,33.2
Licensed practical and licensed vocational nurses,687,10,62,150,161,144,117,43,42.6
Medical records and health information technicians,185,2,9,32,49,42,40,11,45
"Opticians, dispensing",49,0,0,7,8,11,15,7,–
Miscellaneous health technologists and technicians,152,3,30,38,33,22,19,7,37.4
Other healthcare practitioners and technical occupations,133,0,12,36,36,26,18,6,39.8
,,,,,,,,,
Service occupations,"26,978","2,126","3,815","6,091","4,847","4,705","3,855","1,539",38.2
Healthcare support occupations,"3,758",104,521,"1,019",705,648,571,189,38.7
"Nursing, psychiatric, and home health aides","2,086",61,261,498,390,381,363,132,41.2
Occupational therapy assistants and aides,29,0,1,9,5,7,8,1,–
Physical therapist assistants and aides,101,0,20,22,13,25,18,2,41.3
Massage therapists,183,2,7,49,43,41,26,16,42
Dental assistants,284,6,54,82,65,42,30,5,34
Medical assistants,596,13,84,230,113,82,61,13,33.7
Medical transcriptionists,41,0,15,5,3,6,11,1,–
Pharmacy aides,49,1,9,19,6,9,3,2,–
Veterinary assistants and laboratory animal caretakers,59,4,23,18,7,3,3,1,26.6
Phlebotomists,124,2,18,36,26,25,17,1,37.6
"Miscellaneous healthcare support occupations, including medical equipment preparers",206,16,29,53,35,28,32,14,37.3
Protective service occupations,"3,128",96,256,835,707,657,410,166,40.8
First-line supervisors of correctional officers,44,0,2,9,12,12,7,2,–
First-line supervisors of police and detectives,83,0,0,12,26,33,11,1,44.7
First-line supervisors of fire fighting and prevention workers,42,0,0,3,19,14,5,1,–
"First-line supervisors of protective service workers, all other",78,0,2,8,21,24,15,8,48.8
Firefighters,318,0,13,100,96,71,30,6,40.6
Fire inspectors,21,1,0,4,4,4,5,3,–
"Bailiffs, correctional officers, and jailers",372,2,33,113,81,80,47,16,40.8
Detectives and criminal investigators,164,0,5,27,57,49,23,4,43.5
Fish and game wardens,4,0,1,1,2,1,0,0,–
Parking enforcement workers,4,0,0,0,2,1,0,1,–
Police and sheriff's patrol officers,716,1,44,229,190,175,56,21,39.9
Transit and railroad police,5,0,0,2,1,0,1,0,–
Animal control workers,10,0,0,4,2,1,1,0,–
Private detectives and investigators,97,0,3,28,19,25,16,6,43.8
Security guards and gaming surveillance officers,937,16,114,258,156,146,167,80,40.7
Crossing guards,52,1,3,10,4,5,16,13,53.4
Transportation security screeners,43,0,5,13,11,8,4,2,–
"Lifeguards and other recreational, and all other protective service workers",139,75,30,12,6,8,5,3,21.6
Food preparation and serving related occupations,"8,378","1,379","1,811","1,902","1,189","1,027",791,278,29.9
Chefs and head cooks,474,10,48,132,102,110,59,14,39.9
First-line supervisors of food preparation and serving workers,597,31,101,162,115,93,76,20,35.6
Cooks,"2,031",228,322,481,360,313,247,81,35
Food preparation workers,"1,079",230,242,217,132,124,89,44,28.2
Bartenders,464,12,83,170,97,61,30,10,32.7
"Combined food preparation and serving workers, including fast food",372,96,84,69,46,33,34,11,26.3
"Counter attendants, cafeteria, food concession, and coffee shop",200,105,49,20,12,2,9,3,21.4
Waiters and waitresses,"2,038",335,627,494,226,178,136,42,26.6
"Food servers, nonrestaurant",191,39,34,38,20,17,30,13,30.1
Dining room and cafeteria attendants and bartender helpers,338,87,66,43,32,48,40,22,28.5
Dishwashers,264,63,46,45,39,33,28,10,29.8
"Hosts and hostesses, restaurant, lounge, and coffee shop",322,141,106,29,8,16,13,9,21.5
"Food preparation and serving related workers, all other",7,1,3,3,0,0,0,0,–
Building and grounds cleaning and maintenance occupations,"5,746",205,411,"1,065","1,182","1,300","1,158",427,45
First-line supervisors of housekeeping and janitorial workers,352,3,7,55,92,102,71,22,46.8
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",285,4,11,50,78,68,55,18,45.5
Janitors and building cleaners,"2,265",92,176,378,378,503,535,202,47.5
Maids and housekeeping cleaners,"1,475",26,77,235,348,402,293,94,46
Pest control workers,96,2,9,24,23,18,16,4,41.4
Grounds maintenance workers,"1,273",77,130,323,262,208,188,85,39.8
Personal care and service occupations,"5,968",343,816,"1,271","1,063","1,072",924,479,40.2
First-line supervisors of gaming workers,211,6,14,54,46,41,29,21,41.8
First-line supervisors of personal service workers,213,2,11,38,49,58,43,12,46.5
Animal trainers,63,2,9,17,10,12,8,4,39
Nonfarm animal caretakers,296,31,68,63,46,30,43,17,32
Gaming services workers,93,7,7,24,20,12,15,9,39.7
Motion picture projectionists,1,0,0,0,0,0,0,0,–
"Ushers, lobby attendants, and ticket takers",38,12,8,3,2,4,3,7,–
Miscellaneous entertainment attendants and related workers,210,46,55,34,20,9,25,22,25.6
Embalmers and funeral attendants,15,0,2,2,2,1,4,5,–
"Morticians, undertakers, and funeral directors",26,0,3,2,6,4,7,4,–
Barbers,137,1,12,37,30,29,12,16,40.7
"Hairdressers, hairstylists, and cosmetologists",803,9,91,203,175,160,101,64,40.9
Miscellaneous personal appearance workers,409,6,33,102,104,98,44,22,40.8
"Baggage porters, bellhops, and concierges",92,5,14,19,7,17,23,9,45.1
Tour and travel guides,61,5,12,10,12,3,11,7,38.7
Childcare workers,"1,193",128,222,223,173,193,174,79,36.3
Personal care aides,"1,458",33,155,272,253,299,305,140,45.5
Recreation and fitness workers,440,37,64,111,70,68,58,32,36.3
Residential advisors,30,1,10,5,5,5,2,2,–
"Personal care and service workers, all other",178,11,25,54,33,27,18,10,34.8
,,,,,,,,,
Sales and office occupations,"33,370","1,717","3,836","7,243","6,025","6,331","5,794","2,425",41.6
Sales and related occupations,"15,582","1,100","1,885","3,231","2,737","2,889","2,508","1,232",40.8
First-line supervisors of retail sales workers,"3,232",36,221,782,695,683,581,232,43.6
First-line supervisors of non-retail sales workers,"1,247",5,43,211,269,349,259,111,47.6
Cashiers,"3,164",738,735,557,368,319,299,148,27.2
Counter and rental clerks,97,4,12,20,25,14,11,10,38.9
Parts salespersons,142,2,13,38,25,27,26,10,42.9
