Occupation,"Total 16 years and over","16 to 19 years","20 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 64 years","65 years and over","Median age"
"Heating, air conditioning, and refrigeration mechanics and installers",466,13,44,121,104,97,68,19,40.9
Home appliance repairers,51,1,3,11,8,16,7,5,44.5
Industrial and refractory machinery mechanics,408,4,24,71,100,95,99,14,45.3
"Maintenance and repair workers, general",579,8,32,102,123,141,134,40,46.9
"Maintenance workers, machinery",21,0,0,6,4,5,4,2,–
Millwrights,52,0,3,9,13,11,12,3,45.4
Electrical power-line installers and repairers,133,1,18,40,39,23,13,1,38
Telecommunications line installers and repairers,184,5,12,53,52,43,16,2,38.7
Precision instrument and equipment repairers,69,1,5,9,12,12,20,9,49.6
Wind turbine service technicians,2,0,0,0,1,1,0,0,–
"Coin, vending, and amusement machine servicers and repairers",28,0,3,3,7,3,8,3,–
Commercial divers,2,0,0,0,1,0,0,0,–
Locksmiths and safe repairers,32,0,0,11,6,5,7,2,–
Manufactured building and mobile home installers,5,0,0,4,0,1,0,0,–
Riggers,12,0,0,5,3,1,1,0,–
Signal and track switch repairers,7,0,0,2,2,1,2,0,–
"Helpers--installation, maintenance, and repair workers",19,3,4,4,4,1,1,2,–
"Other installation, maintenance, and repair workers",179,5,21,36,34,30,41,13,43.9
,,,,,,,,,
"Production, transportation, and material moving occupations","18,628",543,"1,808","4,027","3,644","3,950","3,542","1,115",43
Production occupations,"8,565",170,775,"1,897","1,778","1,841","1,705",399,43
First-line supervisors of production and operating workers,844,1,20,173,209,227,186,28,46
"Aircraft structure, surfaces, rigging, and systems assemblers",8,0,0,3,0,2,1,2,–
"Electrical, electronics, and electromechanical assemblers",101,3,9,19,19,24,22,4,44
Engine and other machine assemblers,9,0,1,3,2,2,2,0,–
Structural metal fabricators and fitters,25,1,3,9,7,2,3,0,–
Miscellaneous assemblers and fabricators,"1,001",30,120,240,201,190,181,39,40.6
Bakers,228,7,22,53,46,42,46,12,41.6
"Butchers and other meat, poultry, and fish processing workers",297,5,32,62,70,68,43,16,41.8
"Food and tobacco roasting, baking, and drying machine operators and tenders",17,0,0,4,3,4,3,2,–
Food batchmakers,82,3,5,23,14,19,13,5,41.6
Food cooking machine operators and tenders,3,1,0,1,1,1,0,0,–
"Food processing workers, all other",147,2,16,31,40,28,26,4,41.6
Computer control programmers and operators,108,2,13,36,21,19,14,3,36.3
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,0,0,3,3,4,1,0,–
"Forging machine setters, operators, and tenders, metal and plastic",7,0,0,0,3,1,2,0,–
"Rolling machine setters, operators, and tenders, metal and plastic",13,0,1,0,4,4,3,2,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",70,0,6,15,16,13,16,4,44.1
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",6,0,1,1,3,1,1,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",44,2,1,9,8,10,9,3,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",6,0,0,1,1,2,1,0,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,0,0,2,1,0,1,0,–
Machinists,375,7,38,70,61,74,108,16,47.2
"Metal furnace operators, tenders, pourers, and casters",23,0,2,4,2,11,3,0,–
"Model makers and patternmakers, metal and plastic",5,0,0,1,1,1,2,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",45,1,6,8,4,15,10,1,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,0,0,0,1,1,0,0,–
Tool and die makers,55,2,3,11,7,15,14,4,48.4
"Welding, soldering, and brazing workers",592,16,67,164,127,114,91,13,39.3
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,0,0,0,0,1,2,0,–
"Layout workers, metal and plastic",10,0,2,2,2,1,3,0,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",13,0,1,3,1,4,3,0,–
"Tool grinders, filers, and sharpeners",1,0,0,0,0,1,0,0,–
"Metal workers and plastic workers, all other",392,3,36,85,88,82,79,17,43.3
Prepress technicians and workers,27,0,7,7,2,6,5,0,–
Printing press operators,133,2,15,27,22,38,23,6,43.7
Print binding and finishing workers,14,0,1,3,1,3,5,1,–
Laundry and dry-cleaning workers,134,4,5,21,32,31,36,6,46.6
"Pressers, textile, garment, and related materials",28,0,2,7,11,5,2,1,–
Sewing machine operators,179,2,15,14,37,52,44,15,49
Shoe and leather workers and repairers,7,0,0,0,0,2,2,3,–
Shoe machine operators and tenders,5,0,0,2,2,0,1,0,–
"Tailors, dressmakers, and sewers",86,0,0,11,16,14,25,21,53.9
Textile bleaching and dyeing machine operators and tenders,2,0,0,1,0,0,0,0,–
"Textile cutting machine setters, operators, and tenders",4,0,0,2,0,1,0,0,–
"Textile knitting and weaving machine setters, operators, and tenders",9,1,0,0,2,2,3,1,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",10,0,0,2,2,3,4,0,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1,0,0,1,0,0,0,0,–
Fabric and apparel patternmakers,0,0,0,0,0,0,0,0,–
Upholsterers,30,1,2,2,5,14,6,1,–
"Textile, apparel, and furnishings workers, all other",13,0,4,2,0,2,3,1,–
Cabinetmakers and bench carpenters,65,1,3,12,12,17,14,5,46.5
Furniture finishers,18,1,2,1,5,4,3,2,–
"Model makers and patternmakers, wood",0,0,0,0,0,0,0,0,–
"Sawing machine setters, operators, and tenders, wood",33,1,6,9,6,5,5,2,–
"Woodworking machine setters, operators, and tenders, except sawing",12,0,2,2,3,3,2,0,–
"Woodworkers, all other",23,0,1,3,6,3,5,4,–
"Power plant operators, distributors, and dispatchers",43,0,1,8,11,11,9,2,–
Stationary engineers and boiler operators,52,0,0,11,5,13,18,6,53.3
Water and wastewater treatment plant and system operators,110,0,5,25,20,26,29,5,46.5
Miscellaneous plant and system operators,51,0,3,11,12,15,7,2,43.1
"Chemical processing machine setters, operators, and tenders",73,0,5,25,14,12,16,2,41.6
"Crushing, grinding, polishing, mixing, and blending workers",90,1,11,26,13,14,18,7,41.2
Cutting workers,60,4,5,14,15,10,9,4,40
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",27,1,4,7,2,9,2,1,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",17,0,2,1,3,4,7,0,–
"Inspectors, testers, sorters, samplers, and weighers",802,13,69,171,168,171,165,44,43.5
Jewelers and precious stone and metal workers,40,1,2,2,11,7,11,7,–
"Medical, dental, and ophthalmic laboratory technicians",91,2,8,22,18,18,16,6,42.6
Packaging and filling machine operators and tenders,262,9,26,61,47,56,54,8,41.4
Painting workers,171,3,15,52,37,28,30,5,40.9
Photographic process workers and processing machine operators,13,0,2,3,2,3,3,1,–
Semiconductor processors,0,0,0,0,0,0,0,0,–
Adhesive bonding machine operators and tenders,10,1,1,1,2,2,3,0,–
"Cleaning, washing, and metal pickling equipment operators and tenders",2,0,0,0,0,1,1,0,–
Cooling and freezing equipment operators and tenders,2,0,0,0,0,0,0,0,–
Etchers and engravers,8,0,2,0,0,1,3,2,–
"Molders, shapers, and casters, except metal and plastic",31,0,3,7,11,5,5,1,–
"Paper goods machine setters, operators, and tenders",24,1,3,3,8,4,2,3,–
Tire builders,8,0,1,3,2,1,1,0,–
Helpers--production workers,54,5,11,12,9,8,7,2,32.8
"Production workers, all other","1,141",24,123,266,233,236,208,50,41.8
Transportation and material moving occupations,"10,063",373,"1,033","2,129","1,866","2,109","1,837",716,42.9
Supervisors of transportation and material moving workers,206,0,12,59,45,52,33,5,42.8
Aircraft pilots and flight engineers,141,0,3,19,32,41,38,10,48.8
Air traffic controllers and airfield operations specialists,43,0,0,14,11,12,6,0,–
Flight attendants,110,0,5,27,15,27,28,9,49.4
"Ambulance drivers and attendants, except emergency medical technicians",15,0,0,4,0,7,3,1,–
Bus drivers,546,0,2,62,92,130,154,104,53.7
Driver/sales workers and truck drivers,"3,608",45,256,652,724,860,792,279,46.4
Taxi drivers and chauffeurs,790,5,50,167,149,158,159,102,46.3
"Motor vehicle operators, all other",66,1,6,8,6,8,12,26,58.6
Locomotive engineers and operators,42,0,0,7,14,17,4,0,–
"Railroad brake, signal, and switch operators",2,0,0,0,1,1,0,0,–
Railroad conductors and yardmasters,52,2,1,12,16,16,2,2,39.9
"Subway, streetcar, and other rail transportation workers",9,0,0,3,1,1,3,1,–
Sailors and marine oilers,19,2,4,7,2,2,2,0,–
Ship and boat captains and operators,45,0,3,9,12,14,5,2,–
Ship engineers,5,0,0,2,0,3,0,1,–
Bridge and lock tenders,0,0,0,0,0,0,0,0,–
Parking lot attendants,83,6,28,20,6,9,7,8,28.2
Automotive and watercraft service attendants,88,15,15,26,11,9,9,3,30.2
Transportation inspectors,42,1,2,11,7,10,8,2,–
"Transportation attendants, except flight attendants",43,1,3,7,5,11,11,6,–
Other transportation workers,38,0,2,12,7,10,4,3,–
Conveyor operators and tenders,2,0,1,0,1,0,0,0,–
Crane and tower operators,63,1,6,12,13,15,14,3,44.6
"Dredge, excavating, and loading machine operators",28,0,2,7,6,3,5,4,–
Hoist and winch operators,9,1,2,3,1,1,1,0,–
Industrial truck and tractor operators,571,12,76,132,128,121,84,18,39.8
Cleaners of vehicles and equipment,344,43,58,84,52,54,35,17,33
"Laborers and freight, stock, and material movers, hand","2,235",180,377,569,376,359,305,70,35
Machine feeders and offbearers,24,2,4,4,4,3,7,0,–
"Packers and packagers, hand",628,52,90,143,105,121,83,34,37.8
Pumping station operators,16,0,2,3,4,5,2,0,–
Refuse and recyclable material collectors,99,4,14,29,14,21,14,5,38
Mine shuttle car operators,2,1,0,0,1,0,0,0,–
"Tank car, truck, and ship loaders",6,0,2,1,1,0,1,0,–
"Material moving workers, all other",41,0,8,11,6,8,6,2,–
